,ga:pagepath,ga:pageviews,ga:uniquepageviews
0,/,495,321
1,/0,1,1
2,/2012-ocean-sciences-meeting,14,13
3,/3d-body-scanning-technologies,11,10
4,/403.html?page=/blog/2012-04-03-quick-test&from=http://www.software.ac.uk/blog,2,1
5,/403.html?page=/blog/2012-04-19-successful-github-development&from=,1,1
6,/403.html?page=/justins-form-test-page?nid='&from=,1,1
7,/403.html?page=/justins-form-test-page?nid=438&surveyid=1&from=,2,1
8,/403.html?page=/justins-form-test-page?nid=439&surveyid=1&from=,2,1
9,/403.html?page=/justins-form-test-page?nid=439&surveyid=1333628644&from=,2,1
10,/403.html?page=/justins-form-test-page?nid=439&surveyid=1333628645-luxcx64lt6&from=,3,1
11,/403.html?page=/justins-form-test-page?nid=439&surveyid=1333628645-luxcx64lt7&from=http://software.ac.uk/node/439/done?sid=559&surveyid=1333628645-luxcx64lt7,3,1
12,/403.html?page=/snags&from=,4,4
13,/403.html?page=/snags&from=http://software.ac.uk/admin/content/node,2,2
14,/404.html?page=/attacje/SoftwarePreservationBenefitsFramework.pdf&from=,1,1
15,/404.html?page=/blig&from=,1,1
16,/404.html?page=/blog/2011-10-13-save-scientific-legacy-code)&from=http://ccpforge.cse.rl.ac.uk/gf/,1,1
17,"/404.html?page=/blog/2011-10-13-save-scientific-legacy-code)&from=http://ccpforge.cse.rl.ac.uk/gf/""",2,2
18,/404.html?page=/blog/2012-04-20-secret-computer-code-threatens-science&from=,1,1
19,/404.html?page=/blog/http://blog.jtimothyking.com/2006/07/11/twelve-benefits-of-writing-unit-tests-first&from=,1,1
20,/404.html?page=/conference-intelligence&from=,1,1
21,/404.html?page=/logni&from=,1,1
22,/404.html?page=/logo.png&from=,2,2
23,/404.html?page=/our-expertise&from=,1,1
24,/404.html?page=/our-expertise&from=http://software.ac.uk/our-expertise,1,1
25,/404.html?page=/resources/conference-intelligence/cold-spring-harbor-l aboratorywellcome-trust-conference-genome-info&from=,2,1
26,/404.html?page=/resources/conference-intelligence/cold-spring-harbor-l&from=,1,1
27,/404.html?page=/resources/guides/migrating-project-resources-what-rememberhttp://&from=,1,1
28,/404.html?page=/resources/guides/migrating-project-resources-what-rememberhttp://software.ac.uk/resources/guides/migrating-project-resources-what-rememberhttp://software.ac.uk/resources/guides/migrating-project-resources-what-remember&from=,1,1
29,/404.html?page=/software-evaluation-online&from=,1,1
30,/404.html?page=/software-evaluation-survey&from=,1,1
31,/404.html?page=/software-sustainability-evaluation&from=,1,1
32,/404.html?page=/usert&from=,1,1
33,/404.html?page=/what-do-we-do/events-attended&from=,1,1
34,/404.html?page=/what-we-do&from=,1,1
35,/404.html?page=/writing-software-sustainability-institutehttp://software.ac.uk/writing-software-sustainability-institute&from=,1,1
36,/about,43,33
37,/about/advisory-board,19,18
38,/about/cite-us,5,4
39,/about/contact,30,24
40,/about/media,6,5
41,/about/our-partners,14,11
42,/about/people,67,58
43,/advanced-school-scientific-development-day-5-exercises,4,3
44,/agent-reports,8,5
45,/agents,44,36
46,/agents/agent-profiles,17,15
47,/agents/more-information-about-agent-network,17,14
48,/astonishingly-fast-fitting-models-big-datasets,12,8
49,/blog,194,92
50,/blog?page=1,10,8
51,/blog?page=2,1,1
52,/blog?page=7,1,1
53,/blog?page=8,1,1
54,/blog/,4,3
55,/blog/2010-12-16-experiences-paraview-and-python,34,33
56,/blog/2010-12-21-geotod-ii-linked-data-demonstrator-live,4,2
57,/blog/2011-01-11-organising-successful-event-cw11,1,1
58,/blog/2011-01-17-continuous-integration-gets-new-butler,4,4
59,/blog/2011-01-18-thinking-about-migrating-different-repository,2,2
60,/blog/2011-04-11-grid-computing-explained-european-grid-initiative-user-forum,5,4
61,/blog/2011-04-14-coder-programmer-or-software-developer-spot-difference,13,12
62,/blog/2011-04-19-ancient-greeks-knew-thing-or-two-about-software-problems,1,1
63,/blog/2011-05-02-publish-or-be-damned-alternative-impact-manifesto-research-software,9,8
64,/blog/2011-06-02-commercialising-your-software,5,5
65,/blog/2011-06-22-what-makes-good-code-good,7,6
66,/blog/2011-09-02-wtfsmin-indicator-code-quality,7,5
67,/blog/2011-09-22-chemistry-experiments-computer-instead-bench-top,10,9
68,/blog/2011-09-26-its-good-share,1,1
69,/blog/2011-09-29-what-will-climate-change-do-our-wheat,2,2
70,/blog/2011-10-04-beyond-weather-metum-and-art-weather-forecasting,1,1
71,/blog/2011-10-13-save-scientific-legacy-code,6,3
72,/blog/2011-10-18-open-street-map-and-participatory-mapping,2,1
73,/blog/2011-10-25-software-chasing-sequence-report-ismb,1,1
74,/blog/2011-11-01-getting-started-android,3,2
75,/blog/2011-11-02-finding-best-online-resources,1,1
76,/blog/2011-11-07-brain-image-analysis-pain-productivity,1,1
77,/blog/2011-11-18-body-scanning-and-patterned-socks,1,1
78,/blog/2011-11-21-geotod-ii-all-hands-2011-and-semantic-web-2011,1,1
79,/blog/2011-11-29-open-government-data-roaring-life,2,2
80,/blog/2011-11-30-celery-not-be-sniffed,27,27
81,/blog/2011-12-16-what-makes-good-code-good-digital-social-research-view,22,21
82,/blog/2011-12-22-scala-fewer-lines-code-and-better-pay,4,4
83,/blog/2012-01-19-how-easy-it-teach-software-skills,4,4
84,/blog/2012-01-31-can-you-code-better-your-friends-find-out-dev8d,1,1
85,/blog/2012-02-03-usability-sustainability,24,7
86,/blog/2012-02-17-evaluating-software-behind-some-worlds-large-experimental-facilities,2,1
87,/blog/2012-02-17-what-makes-good-code-good-and-peer-software-reviewing-dev8d,6,6
88,/blog/2012-03-05-five-easy-steps-promoting-your-software,14,11
89,/blog/2012-03-18-students-view-advanced-school-scientific-software-development,7,5
90,/blog/2012-03-23-announcing-journal-open-research-software-software-metajournal,113,99
91,/blog/2012-03-26-usability-uk,6,5
92,/blog/2012-03-27-rtfm-four-letter-word,19,16
93,/blog/2012-03-30-enterprise-edition-open-data,8,7
94,/blog/2012-04-02-simple-tangible-benefits-technically-minded-academics,24,22
95,/blog/2012-04-04-extending-and-documenting-robocup-rescue,23,19
96,/blog/2012-04-05-software-engineering-too-high-price-pay,37,27
97,/blog/2012-04-11-attachment-and-turing-un-disposal-ubiquitous-ai,18,17
98,/blog/2012-04-12-where-do-you-publish-your-results,25,24
99,/blog/2012-04-16-has-not-been-published,4,1
100,/blog/2012-04-16-marrying-prince2-agile-development,31,24
101,/blog/2012-04-16-opportunity-learn-huge-amount-very-short-time,14,14
102,/blog/2012-04-17-developing-dynamic-biomedical-research-support-systems-need-domain-expertise,53,43
103,/blog/2012-04-18-getting-started-atlasti,12,12
104,/blog/2012-04-19-successful-github-development,21,17
105,/blog/2012-04-19-top-tips-migrating-open-source-repository,8,5
106,/blog/2012-04-19-top-tips-using-open-source-repository,3,1
107,/blog/2012-04-20-ocean-sciences-meeting-2012-salt-lake-city-usa,8,7
108,/blog/2012-04-20-secret-computer-code-threatens-science,1,1
109,/blog/2012-04-20-top-tips-migrating-open-source-repository,14,12
110,/blog/2012-04-23-mine-ours-encouraging-developers-share-code,4,2
111,/blog/2012-04-23-work-scientific-software-engineers-recognised-academia,32,30
112,/blog/2012-04-25-top-5-software-development-donts,5,5
113,/blog/2012-04-25-top-five-donts-software-development,1,1
114,/blog/2012-04-26-top-5-tips-releasing-software,3,3
115,/blog/2012-04-26-top-five-donts-software-development,50,44
116,/choosing-right-open-source-software-your-project,6,6
117,/comment/reply/270,2,1
118,/comment/reply/270/13,1,1
119,/comment/reply/349,1,1
120,/comment/reply/442,4,1
121,/comment/reply/464,1,1
122,/comment/reply/467,2,1
123,/comment/reply/477,1,1
124,/comment/reply/481,1,1
125,/comment/reply/488,2,2
126,/content-summary,14,11
127,/content-summary?revision_moderation=1&state[]=2,3,2
128,/content-summary?revision_moderation=1&state[0]=2,1,1
129,/creating-videos-software-projects,5,4
130,/cw12,115,72
131,/cw12-maps-and-rooms,5,5
132,/cw12/collaborations-workshop-archive,12,8
133,/cw12/cw12-agenda,6,5
134,/cw12/cw12-breakout-topics,17,11
135,/cw12/cw12-breakouts,10,6
136,/cw12/cw12-collaborative-ideas,4,4
137,/cw12/cw12-email-everything,6,5
138,/cw12/cw12-events-team,3,3
139,/cw12/cw12-five-important-things,27,25
140,/cw12/cw12-food-and-drink,1,1
141,/cw12/cw12-lightning-talks,6,6
142,/cw12/cw12-organisation,7,7
143,/cw12/cw12-registration,1,1
144,/cw12/cw12-topics-lightning-talks,18,15
145,/cw12/cw12-whos-attending,16,12
146,/digital-engagement-2011,10,9
147,/event-feedback-form,1,1
148,/events,39,28
149,/events?page=1,6,6
150,/events?page=2,3,3
151,/events?page=3,5,5
152,/events?page=4,4,4
153,/events/2010-02-16-dev8d,1,1
154,/events/2011-03-30-understanding-provenance-and-linked-open-data,6,3
155,/events/2011-09-26-e-science-all-hands-meeting-2011,2,1
156,/events/2011-11-29-3rd-ieee-international-conference-cloud-computing-technology-and-science-ieee-clou,1,1
157,/events/2011-12-05-ieee-international-conference-utility-and-cloud-computing,1,1
158,/events/2012-02-14-dev8d-2012,1,1
159,/events/2012-02-20-advanced-school-scientific-software-development-concepts-and-tools,5,5
160,/events/2012-02-26-international-symposium-grids-and-clouds-2012,2,2
161,/events/2012-04-30-software-carpentry-bootcamp,6,6
162,/events/2012-05-14-software-carpentry-bootcamp,12,10
163,/events/2012-05-29-dev8ed-building-sharing-learning-cool-stuff-education,1,1
164,/events/2012-06-10-para-2012-workshop-state-art-scientific-and-parallel-computing,5,5
165,/events/2012-06-18-sciencecloud-2012-3rd-workshop-scientific-cloud-computing,2,2
166,/events/2012-06-25-csc-summer-school-high-performance-computing,9,5
167,/events/2012-07-03-summer-science-exhibition-2012-royal-society,1,1
168,/events/archive,8,6
169,/events/archive?page=1,1,1
170,/founding-organisations,12,12
171,/help-travel-requests-and-conference-reports,2,2
172,/helping-surgeons-adopt-software,9,5
173,/home/cw11,19,16
174,/home/cw11/cw11-agenda,1,1
175,/home/cw11/giving-good-lightning-talk,19,16
176,/home/cw11/lightning-talks,1,1
177,/how-frustrate-your-users-annoy-other-developers-and-please-lawyers,11,10
178,/justins-web-form-test-page,23,5
179,/login,14,14
180,/maintainable-software-practice-workshop,28,27
181,/more-information-about-agent-network,1,1
182,/news,13,11
183,/news/2010-12-16-got-question-about-software-ask-steve,1,1
184,/news/2011-01-21-software-sustainability-featured-international-science-grid-week,1,1
185,/news/2011-03-11-10th-e-science-all-hands-meetings-2011-call-abstracts,1,1
186,/news/2011-03-14-all-your-dirty-little-programming-secrets-needed,1,1
187,/news/2011-03-25-brain-research-imaging-centre-edinburgh-bric-edinburgh-projects-sourceforge,1,1
188,/news/2011-04-01-new-guide-how-frustrate-your-users-annoy-other-developers-and-please-lawyers,1,1
189,/news/2011-09-21-meet-champions-workshop-ahm-2011,1,1
190,/news/2011-11-01-getting-started-android,8,8
191,/news/2011-11-21-short-break-your-phd-advise-mps,1,1
192,/news/2011-12-05-158-million-investment-e-infrastructure-power-growth-and-innovation,1,1
193,/news/2011-12-08-science-code-manifesto,3,2
194,/news/2011-12-14-collaborations-workshop-21-22-march-2012-oxford,3,2
195,/news/2011-12-21-first-live-run-neutrino-software,3,2
196,/news/2012-01-19-shape-future-uk-national-grid-service,2,2
197,/news/2012-03-05-build-better-scientific-software-dcse-funding-available-uk-universityregional-hpc-co,5,5
198,/news/2012-03-08-only-five-places-left-collaborations-workshop,2,2
199,/news/2012-03-27-what-happened-collaborations-workshop,14,10
200,/news/2012-03-30-researcher-programmer-new-species,29,27
201,/news/2012-04-16-argument-publishing-source-code,46,38
202,/news/2012-04-23-secret-computer-code-threatens-science,24,19
203,/news/2012-04-25-does-cultural-analysis-have-role-software-design,7,7
204,/news/2012-04-25-let-government-know-why-open-standards-are-important,13,12
205,/news/2012-04-25-online-sustainability-evaluation-review-your-software-s-sustainability-and-receive-t,11,9
206,/news/2012-04-26-online-sustainability-evaluation-review-your-software-s-sustainability-and-receive-t,1,1
207,/news/2012-04-27-interesting-study-barriers-prevent-researchers-publishing-their-code,36,33
208,/news/2012-04-27-let-us-know-about-software-catalogues,9,7
209,/news/2012-04-30-bit-rot-economist-argues-better-regulation-data,4,4
210,/news/2012-04-30-i-say-i-say-i-say-my-developer-has-no-nose,9,7
211,/news/2012-04-30-intelligence-knowledge-gaps-phd-conference-2012,2,2
212,/node/435,37,5
213,/node/439,5,1
