,ga:pagepath,ga:pageviews,ga:uniquepageviews
0,/,918,721
1,/20th-annual-international-conference-intelligent-systems-molecular-biology-ismb,4,4
2,/25th-ieee-computer-based-medical-systems-cbms-2012,4,3
3,/30th-conference-international-society-biomechanics-sports-isbs,1,1
4,/3rd-international-ubi-summer-school-2012,3,3
5,/403.html?page=/blog/2012-11-23-catching-mice&from=http://www.software.ac.uk/admin,2,1
6,/403.html?page=/fellowship-programme/fellowship-programme-application-form&from=http://www.software.ac.uk/news/2012-07-11-funding-travel-and-more-new-fellowship-programme,4,2
7,/403.html?page=/ssi-fellowship-programme-application-form&from=,16,16
8,/404.html?page=//resources/guides/how-frustrate-your-users-annoy-other-developers-and-please-lawyers&from=http://www.software.ac.uk/node/217/edit?destination=admin/content/filter,1,1
9,/404.html?page=/blog/2012-07-17-infrastructure-unselfish-software-development-collection-top-tip&from=,3,2
10,/404.html?page=/blog/2012-11-13-uk-software-carpentry-gathers-mo&from=,1,1
11,/404.html?page=/blog/2012-11-16-excellent-opportunity-policy-and-c&from=,2,2
12,/404.html?page=/blog/2012-11-16-excellent-opportunity-policy-and-c&from=http://du118w.dub118.mail.live.com/mail/InboxLight.aspx?n=1839989244,2,1
13,/404.html?page=/blog/2012-11-19-helping-researchers-be-bette&from=,1,1
14,/404.html?page=/blog/2012-11-19-helping-researchers-be-better-so&from=,3,3
15,/404.html?page=/blog/2012-11-19-helping-researchers-be-better&from=,1,1
16,/404.html?page=/cw13&from=,2,2
17,/404.html?page=/fellowship-selection-talk-voting-form&from=,1,1
18,/404.html?page=/getting-know-jenkins : Change jenkins home and give path to custom code&from=,1,1
19,/404.html?page=/how-frustrate-your-users-annoy-other-developers-and-please-lawyers&from=http://software.ac.uk/resources/guides,1,1
20,/404.html?page=/how-frustrate-your-users-annoy-other-developers-and-please-lawyers&from=http://software.ac.uk/what-do-we-do,1,1
21,/404.html?page=/how-frustrate-your-users-annoy-other-developers-and-please-lawyers&from=http://www.software.ac.uk/blog/2011-06-02-commercialising-your-software,1,1
22,/404.html?page=/how-frustrate-your-users-annoy-other-developers-and-please-lawyers&from=http://www.software.ac.uk/resources/guides,1,1
23,/404.html?page=/how-frustrate-your-users-annoy-other-developers-and-please-lawyers&from=http://www.software.ac.uk/what-do-we-do,1,1
24,/404.html?page=/logo&from=,1,1
25,/404.html?page=/news/2012-11-28-announcing-software-sustain&from=,1,1
26,/404.html?page=/resources/guides/best-practice&from=,1,1
27,/404.html?page=/software-sustainability-evaluation&from=,1,1
28,/404.html?page=/ssi&from=,1,1
29,/404.html?page=/what-do-we-do/talks-and-training&from=http://software.ac.uk/what-do-we-do/training,2,1
30,/404.html?page=/writing&from=,1,1
31,/404.html?page=/writing&from=http://www.software.ac.uk/writing,3,1
32,/about,130,96
33,/about/advisory-board,24,21
34,/about/cite-us,10,9
35,/about/contact,46,42
36,/about/media,8,7
37,/about/our-partners,28,24
38,/about/people,140,124
39,/advanced-school-scientific-development-day-5-exercises,2,2
40,/agent-reports,10,5
41,/agents,45,38
42,/agents/agent-profiles,51,43
43,/agents/more-information-about-agent-network,3,3
44,/astonishingly-fast-fitting-models-big-datasets,2,2
45,/banner-716,2,1
46,/blog,229,130
47,/blog?page=1,28,20
48,/blog?page=10,1,1
49,/blog?page=12,3,1
50,/blog?page=13,1,1
51,/blog?page=14,1,1
52,/blog?page=15,1,1
53,/blog?page=2,17,13
54,/blog?page=3,10,9
55,/blog?page=4,5,4
56,/blog?page=5,2,2
57,/blog?page=6,1,1
58,/blog/,3,3
59,/blog/2010-11-24-what-cloud-computing-got-right,2,1
60,/blog/2010-11-26-changing-software-nightmare-tracking-scientific-data,4,3
61,/blog/2010-12-16-experiences-paraview-and-python,4,4
62,/blog/2011-01-18-thinking-about-migrating-different-repository,3,3
63,/blog/2011-02-17-dev8d-dipping-toe-developers-world,3,2
64,/blog/2011-02-23-sword-software-ontology-research-description,10,7
65,/blog/2011-04-14-coder-programmer-or-software-developer-spot-difference,35,28
66,/blog/2011-04-19-ancient-greeks-knew-thing-or-two-about-software-problems,9,6
67,/blog/2011-05-02-publish-or-be-damned-alternative-impact-manifesto-research-software,13,11
68,/blog/2011-05-23-scientists-solve-one-africa-s-oldest-animal-plagues,1,1
69,/blog/2011-06-02-commercialising-your-software,6,5
70,/blog/2011-06-22-ssi-effective-scientific-programming-workshop,2,2
71,/blog/2011-06-22-what-makes-good-code-good,18,14
72,/blog/2011-06-29-were-all-engineers-now,1,1
73,/blog/2011-07-08-why-reproducibility-important,1,1
74,/blog/2011-08-04-open-research-computation-ordinary-journal-extraordinary-aims,3,3
75,/blog/2011-08-25-integrating-orthopaedic-systems-more-knee-jerk-reaction,3,1
76,/blog/2011-08-31-training-researchers-code-university-glasgow,1,1
77,/blog/2011-09-02-wtfsmin-indicator-code-quality,5,4
78,/blog/2011-09-22-chemistry-experiments-computer-instead-bench-top,6,6
79,/blog/2011-09-26-its-good-share,1,1
80,/blog/2011-10-06-prediction-better-future-head-injured-patients,1,1
81,/blog/2011-10-13-save-scientific-legacy-code,1,1
82,/blog/2011-10-25-software-chasing-sequence-report-ismb,4,2
83,/blog/2011-11-30-celery-not-be-sniffed,5,5
84,/blog/2011-12-02-i-am-not-light-bulb,1,1
