,ga:pagepath,ga:pageviews,ga:uniquepageviews
0,/,1296,1085
1,"/?dm_i=1XGT,3HNKH,JO5Z9I,CI0E2,1",1,1
2,/25th-ieee-computer-based-medical-systems-cbms-2012,2,2
3,/3d-body-scanning-technologies,8,8
4,/403.html?page=/blog/2015-07-29-docker-helps-biofuels-research&from=,1,1
5,/403.html?page=/news/2015-07-01-need-free-help-your-research-software-try-institutes-open-call&from=http://www.software.ac.uk/news,1,1
6,/403.html?page=/node/1712&from=,1,1
7,/404.html?page=/blog/2013-08-23-...&from=http://www.google.co.in/search?q=benefits of software engineer&clientAction=534.click&clientAction=534.click&ie=ISO-8859-1&hl=en,1,1
8,/404.html?page=/blog/2014-03-25-how-photo-playboy-became-part-&from=,3,3
9,/404.html?page=/blog/2014-03-25-how-photo-playboy-became-part&from=,2,2
10,/404.html?page=/blog/2014-11-13-_rst-science-paper-hackathon-29how-did-it-go&from=,1,1
11,/404.html?page=/blog/2014-11-13-_rst-science-paper-hackathon-how-did-it-go&from=,2,2
12,/404.html?page=/blog/2014-11-13-rst-science-paper-hackathon-how-did-it-go&from=,1,1
13,/404.html?page=/blog/2015-07-23-your-research-software-correct-1&from=http://feedly.com/index.html,1,1
14,/404.html?page=/blog/2015-07-23-your-research-software-correct-1&from=http://www.gridpp.ac.uk/,1,1
15,/404.html?page=/blog/2015-07-23-your-research-software-correct-2&from=,1,1
16,/404.html?page=/blog/2015-07-29-docker-helps-biofuels-research /A&from=,2,1
17,/404.html?page=/cdt-sign-up?mpw&from=http://www.google.co.in/search?hl=en&ie=ISO-8859-1&q=u.p.+m.p.w+organisation,1,1
18,/404.html?page=/event-request&from=,1,1
19,/404.html?page=/legacy-sitesdissemination/FunctionalSpecification.pdf&from=,1,1
20,/404.html?page=/legacy-sitesdocs/2.3.3/managed_programme/plotws/about_plotws.htm&from=,1,1
21,/404.html?page=/legacy-sitesdocs/2.3.3/managed_programme/plotws/about_plotws.htm&from=http://gnuplot.sourceforge.net/links.html,1,1
22,/404.html?page=/legacy-sitesdocs/2.3.3/managed_programme/plotws/about_plotws.htm&from=http://www.gnuplot.info/links.html,6,6
23,/404.html?page=/legacy-sitesindex.jhtml&from=,3,1
24,/404.html?page=/legacy-sitesrepository/project.jhtml?pid=45&from=http://www.dcc.ac.uk/resources/briefing-papers/standards-watch-papers/workflow-standards-e-science,1,1
25,/404.html?page=/legacy-siteswiki/BPEL&from=http://dev.mygrid.org.uk/wiki/pages/viewpage.action?pageId=18974820,1,1
