,ga:pagepath,ga:pageviews,ga:uniquepageviews
0,/,954,777
1,/?code=AQSELs0uESygOKw-4muzarn4nnMK5QmkOy6DM7s1JHMYG6sG9bedml7ge1LRRzW8chl2TZm9er7cVprR0JEmBTqblu423JgNYgw9RQXN1SEnnnqGwcY&state=ABSP1C13112507,1,1
2,/?code=AQSI4K7V_-2R6_HLTlNlG0ytHnA14QBWVpf2hnzIsLQB83kiAaCb_stHOFEfKxk5NIs2uoqoqzlWhjBey_yNe79UU0ALDVOTflUUbTbpa5E1Ka2j37w&state=ABSP1C13112507,2,2
3,/25th-ieee-computer-based-medical-systems-cbms-2012,1,1
4,/30th-conference-international-society-biomechanics-sports-isbs,3,3
5,/3d-body-scanning-technologies,4,4
6,/3rd-international-ubi-summer-school-2012,1,1
7,/403.html?page=/blog/2014-01-17-learn-code-free&from=,1,1
8,/403.html?page=/collaborations-workshop-2014-cw14-software-your-reproducible-research/cw14-food-and-drink&from=,1,1
9,/403.html?page=/collaborations-workshop-2014-cw14-software-your-reproducible-research/cw14-map-and-venue&from=,1,1
10,/403.html?page=/news/2014-02-13-biojs-collection-open-access-visualisation-tools-released&from=,1,1
11,/403.html?page=/node/1225&from=,1,1
12,/403.html?page=/node/1256/&from=,1,1
13,/403.html?page=/resources/guides/adopting-open-source-licence&from=http://software.ac.uk/blog/2012-05-16-top-five-tips-releasing-software,1,1
14,/404.html?page=/ news/2014-02-05- digitalhumanities-2014-dates-announced&from=http://eadh.org/news/2014/02/07/digitalhumanities-oxford-summer-schools-2014-dhoxss,2,2
15,/404.html?page=/2013-10-29-whats-wrong-computer-scientists&from=,1,1
16,/404.html?page=/2013-10-29-whats-wrong-computer-scientists&from=http://software.ac.uk/2013-10-29-whats-wrong-computer-scientists,1,1
17,/404.html?page=/2013-10-29-whats-wrong-computer-scientists&from=http://www.software.ac.uk/2013-10-29-whats-wrong-computer-scientists,1,1
18,/404.html?page=/2013-10-29-whats-wrong&from=,1,1
19,/404.html?page=/about/people/giacomo-&from=,1,1
20,/404.html?page=/about/people/giacomo-&from=http://www.software.ac.uk/about/people/giacomo-,1,1
21,/404.html?page=/blog/2012-11-09-craftsperson-adfdvdnd-scholar?mpw&from=,1,1
22,/404.html?page=/blog/2013-09-02-encouraging-citation-software-i&from=http://lists.software-carpentry.org/pipermail/discuss_lists.software-carpentry.org/2013-October/001048.html,1,1
23,/404.html?page=/blog/2013-12-17-feedback-software-and-research-town-hall-agu-2013.&from=http://www.software.ac.uk/american-geophysical-union-fall-meeting-2013-0,1,1
24,/404.html?page=/blog/2014-02-28-being-creative-and-shaping-world&from=,1,1
25,/404.html?page=/collaborationsworkshop&from=,1,1
26,/404.html?page=/cw&from=,1,1
27,/404.html?page=/cw13/collaborations-workshop-quotes&from=http://www.software.ac.uk/CW13,1,1
28,/404.html?page=/cw14.&from=,1,1
29,/404.html?page=/cw14/agenda&from=,1,1
30,/404.html?page=/fellows/philip-fowlerwww.software.ac.uk/blog/2014-02-03-windows-azure-research-training-perspective&from=,1,1
31,/404.html?page=/log-in&from=,1,1
32,/404.html?page=/news/2014-02-12-2014-european-globus-community-forum-registration-now-open&from=,1,1
33,/404.html?page=/news/2014-02-12-2014-european-globus-community-forum-registration-now-open&from=http://t.co/Y1cTaqfV1D,2,2
34,/404.html?page=/news/2014-02-12-2014-european-globus-community-forum-registration-now-open&from=http://www.software.ac.uk/news/2014-02-12-2014-european-globus-community-forum-registration-now-open,1,1
35,/404.html?page=/node/1168/&from=,1,1
36,/404.html?page=/node/1168&from=http://www.software.ac.uk/node/1168/,1,1
37,/404.html?page=/people/devasena-inupakutika&from=,1,1
38,/404.html?page=/ready-release&from=,2,2
39,/404.html?page=/ready-release&from=http://www.software.ac.uk/blog/2011-06-02-commercialising-your-software,2,1
40,/404.html?page=/resources/guides/choosing-repository-&from=,1,1
41,/404.html?page=/resources/guides/writing-readable-sourcecode&from=,1,1
42,/404.html?page=/resources/preserving-software-resources&from=http://softwarepreservation.jiscinvolve.org/wp/,1,1
43,/404.html?page=/rss-all&from=,1,1
44,/404.html?page=/rss2&from=,1,1
