,ga:pagepath,ga:pageviews,ga:uniquepageviews
0,/,256,192
1,/403.html?page=/choosing-right-open-source-software-your-project&from=,1,1
2,/403.html?page=/join-our-agents-network&from=,1,1
3,/403.html?page=/join-our-agents-network&from=http://asksteve.software.ac.uk/,1,1
4,/403.html?page=/join-our-agents-network&from=http://asksteve.software.ac.uk/?p=167,2,1
5,/403.html?page=/join-our-agents-network&from=http://www.software.ac.uk/join-our-agents-network,1,1
6,/404.html?page=/blog/2011-10-13-save-scientific-legacy-code)&from=http://ccpforge.cse.rl.ac.uk/gf/,12,10
7,/404.html?page=/blog/2011-10-13-save-scientific-legacy-code)&from=http://ccpforge.cse.rl.ac.uk/gf/project/ccpforge/news/?action=NewsThreadView&id=103,2,1
8,/404.html?page=/resources/guides/choosing-right-open-source-software-your-project&from=,1,1
9,/404.html?page=/software-evaluation-criterion-based&from=http://software.ac.uk/software-evaluation-guide,1,1
10,/404.html?page=/what do we do/sustaining-software&from=http://softwarepreservation.jiscinvolve.org/wp/2010/06/10/wanted-software-developers/,1,1
11,/about,25,20
12,/about/cite-us,3,3
13,/about/contact,15,13
14,/about/media,6,6
15,/about/our-partners,17,16
16,/about/people,34,29
17,/agent-reports,11,10
18,/agents,37,35
19,/agents/agent-profiles,32,29
20,/agents/more-information-about-agent-network,19,17
21,/astonishingly-fast-fitting-models-big-datasets,1,1
22,/blog,41,31
23,/blog?page=1,5,5
24,/blog?page=2,1,1
25,/blog?page=3,2,2
26,/blog?page=4,7,7
27,/blog?page=5,1,1
28,/blog/,3,3
29,/blog/2010-11-26-changing-software-nightmare-tracking-scientific-data,1,1
30,/blog/2010-11-26-life-after-nescforge-surviving-repository-closure,2,2
31,/blog/2010-12-16-experiences-paraview-and-python,8,8
32,/blog/2011-01-11-organising-successful-event-cw11,1,1
33,/blog/2011-01-18-thinking-about-migrating-different-repository,13,13
34,/blog/2011-02-17-dev8d-dipping-toe-developers-world,1,1
35,/blog/2011-02-23-sword-software-ontology-research-description,6,5
36,/blog/2011-02-28-open-source-community-simplified,1,1
37,/blog/2011-04-01-all-publicity-good-publicity,1,1
38,/blog/2011-04-11-grid-computing-explained-european-grid-initiative-user-forum,2,2
39,/blog/2011-04-11-three-tips-software-sustainability-egi-user-forum,4,4
40,/blog/2011-04-12-what-do-we-want-fewer-abbreviations-when-do-we-want-them-asap,1,1
41,/blog/2011-04-14-coder-programmer-or-software-developer-spot-difference,21,19
