,ga:pagepath,ga:pageviews,ga:uniquepageviews
0,/,1511,862
1,/?p=8,1,1
2,/403.html?page=/admin/config/content/formats/manage/basic_html?destination=/admin/config/content/formats&from=https://localhost:8943/admin/config/content/formats,1,1
3,/403.html?page=/admin/config/content/formats/manage/full_html?destination=/admin/config/content/formats&from=,1,1
4,/403.html?page=/admin/config/content/term-csv-import&from=https://localhost:9943/admin/config/content/term-csv-export,1,1
5,/403.html?page=/admin/config/development/configuration/single/export&from=https://localhost:9943/admin/config/development/configuration/full/export,1,1
6,/403.html?page=/admin/config/development/performance&from=https://localhost:8743/admin/config/development/performance,1,1
7,/403.html?page=/admin/config/gdpr/compliance&from=,1,1
8,/403.html?page=/admin/config/gdpr/compliance&from=https://localhost:8943/admin/modules,1,1
9,/403.html?page=/admin/config/search/path/filter?search=preservation-framework&from=https://localhost:8943/admin/config/search/path,1,1
10,/403.html?page=/admin/config&from=https://35.177.91.44:8143/admin/content,1,1
11,/403.html?page=/admin/config&from=https://35.177.91.44/admin/config,1,1
12,/403.html?page=/admin/config&from=https://localhost:8743/admin/config/development/performance,1,1
13,/403.html?page=/admin/config&from=https://localhost:8943/admin/modules?filter=default,1,1
14,/403.html?page=/admin/config&from=https://localhost:8943/user/1,1,1
15,/403.html?page=/admin/content?status=All&type=page&title=lined+up&langcode=All&from=https://localhost:8943/admin/content?status=All&type=page&title=&langcode=All&page=2,1,1
16,/403.html?page=/admin/content&from=https://localhost:9943/admin/config,1,1
17,/403.html?page=/admin/content&from=https://localhost:9943/node/2419/edit,1,1
18,/403.html?page=/admin/modules&from=,2,2
19,/403.html?page=/admin/modules&from=https://35.177.91.44/admin/config/workflow/rules/reactions/edit/twitter?destination=/admin/config/workflow/rules,1,1
20,/403.html?page=/admin/modules&from=https://35.177.91.44/user/1,1,1
21,/403.html?page=/admin/modules&from=https://localhost:8643/admin/structure/types/manage/slideshow/fields/node.slideshow.field_image,1,1
22,/403.html?page=/admin/reports/dblog&from=https://localhost:8943/admin/reports,1,1
23,/403.html?page=/admin/reports&from=https://localhost:8843/admin/reports/dblog,1,1
24,/403.html?page=/blog/2016-09-30-how-prove-importance-research-software-measuring-impact&from=,2,1
25,/403.html?page=/node/2422/edit&from=,1,1
26,/403.html?page=/node/2738/edit?destination=/admin/content&from=,1,1
27,/403.html?page=/node/590/edit&from=https://localhost:8943/research-software-group/open-call-projects,1,1
28,/403.html?page=/node/add/import&from=https://35.176.183.9/admin/modules,1,1
29,/403.html?page=/node/add/import&from=https://localhost:8943/admin/modules/uninstall,1,1
30,/403.html?page=/user/1&from=,2,2
31,/403.html?page=/user/1&from=https://35.177.91.44:8443/admin/config,1,1
32,/403.html?page=/user/1&from=https://localhost:8843/admin/reports/dblog,1,1
33,/403.html?page=/user/1&from=https://localhost:8943/admin/modules,1,1
34,/403.html?page=/user/1&from=https://localhost:8943/admin/modules?filter=defa,1,1
35,/403.html?page=/user/1&from=https://localhost:8943/user/login,1,1
36,/403.html?page=/user/logout&from=https://www.software.ac.uk/,1,1
37,/404.html?page=/ better software better science&from=,1,1
38,/404.html?page=/about/people/orcid.org/0000-0001-6390-2616&from=https://www.software.ac.uk/about/people/shoaib-sufi,1,1
39,/404.html?page=/about/user&from=,1,1
40,/404.html?page=/admin/config/content/ckeditor/edit/Full&from=,1,1
41,/404.html?page=/admin/config/content/ckeditor&from=,1,1
42,/404.html?page=/admin/config/social-api/social-post/twitter/users&from=https://35.177.91.44:8143/admin/config/social-api/social-post/twitter,2,1
43,/404.html?page=/admin/config/update.php&from=,1,1
44,/404.html?page=/admin/config/update.php&from=https://35.177.91.44/admin/config/content/term-csv-export,1,1
