,ga:pagepath,ga:pageviews,ga:uniquepageviews
0,/,1408,823
1,/20th-annual-international-conference-intelligent-systems-molecular-biology-ismb,3,3
2,/25th-ieee-computer-based-medical-systems-cbms-2012,2,2
3,/30th-conference-international-society-biomechanics-sports-isbs,2,1
4,/3d-body-scanning-technologies,4,4
5,/403.html?page=/best-blog&from=,1,1
6,/403.html?page=/node/1118&from=,1,1
7,/404.html?page=/3DStudio Max&from=http://www.software.ac.uk/blog/2014-01-29-press-start-games-research-group-launches-university-lincoln,1,1
8,/404.html?page=/about/people/simon-hettrick&from=,1,1
9,/404.html?page=/asksteve&from=,1,1
10,/404.html?page=/blog/2011-06-22-what-makes-good-code-good 10/12/13&from=,1,1
11,/404.html?page=/blog/2013-12-04-top-tips-creatiing-web-service&from=,1,1
12,/404.html?page=/blog/2013-12-04-top-tips-creatiing-web-services&from=,1,1
13,/404.html?page=/blog/2013-12-04-top-tips-creating-service/&from=,1,1
14,/404.html?page=/blog/2013-12-04-top-tips-creating-service&from=,1,1
15,/404.html?page=/blog/2013-12-04-top-tips-creating-services/&from=,1,1
16,/404.html?page=/blog/2013-12-04-top-tips-creating-services&from=,1,1
17,/404.html?page=/blog/2013-12-04-top-tips-creation-service&from=,1,1
18,/404.html?page=/blog/2013-12-04-top-tips-creation-services&from=,1,1
19,/404.html?page=/collaborations-workshop-2013-cw13/cw13-what-people-hope-gain-attending&from=http://test.www.software.ac.uk/collaborations-workshop-2013-cw13,1,1
20,/404.html?page=/content/node-settings&from=,2,1
21,/404.html?page=/cw1&from=,1,1
22,/404.html?page=/cw13/cw12&from=,1,1
23,/404.html?page=/cw14/agenda&from=,1,1
24,/404.html?page=/fellows-event-request-form.&from=,1,1
25,/404.html?page=/fellowship-programme.Engineering&from=,1,1
26,/404.html?page=/fellowship-programme/fellows&from=,1,1
27,/404.html?page=/fellowship-programme/fellowship-terms-and-conditions-2014&from=,1,1
28,/404.html?page=/Giacomo Peru&from=,1,1
29,/404.html?page=/guides&from=,2,1
30,/404.html?page=/how-frustrate-your-users-annoy-other-developers-and-please-lawyers&from=http://www.software.ac.uk/blog/2011-06-02-commercialising-your-software,1,1
31,/404.html?page=/meetsid.co.uk/sid-the-game/&from=http://www.software.ac.uk/blog/2013-12-13-aliens-care-homes-serious-gaming?mpw,1,1
32,/404.html?page=/news/2014-01-09-bringing-public-data-life-competition-visualise-uk-publicl&from=,1,1
33,/404.html?page=/node/1168/&from=,2,1
34,/404.html?page=/people/&from=,1,1
35,/404.html?page=/people/devasena-inupakutika&from=,1,1
36,/404.html?page=/people&from=,2,2
37,/404.html?page=/policy-0/workshop-research-software-engineers&from=http://www.linkedin.com/lite/external-redirect?url=http://www.software.ac.uk/policy-0/workshop-research-software-engineers&urlHash=Mdim,1,1
38,/404.html?page=/ready-release&from=,2,2
39,/404.html?page=/ready-release&from=http://www.software.ac.uk/blog/2011-06-02-commercialising-your-software,2,2
40,/404.html?page=/resources/guides/creating-and-managing-sourceforge-projects/themes/ssi/icons/magnifier.png&from=,1,1
41,"/404.html?page=/resources/guides/developing-maintainable-softwareIEEE. 610.12-1990 - IEEE Standard Glossary of Software Engineering Terminology, IEEE Computer Society&from=",1,1
42,/404.html?page=/resources/guides/developing-maintainable-softwareIEEE. 610.12-1990&from=,1,1
43,/404.html?page=/resources/preserving-software-resources&from=,1,1
44,/404.html?page=/resources/preserving-software-resources&from=http://softwarepreservation.jiscinvolve.org/wp/,1,1
45,/404.html?page=/resources/preserving-software-resources&from=http://softwarepreservation.jiscinvolve.org/wp/about/,1,1
46,/404.html?page=/resources/preserving-software-resources&from=http://www.software.ac.uk/resources/preserving-software-resources,1,1
47,/404.html?page=/rss_all&from=,1,1
48,/404.html?page=/rss-all&from=,1,1
49,/404.html?page=/sites/default/files/SSI-SoftwareEvaluationCriteria.pdf‎&from=,1,1
50,/404.html?page=/software evaluation-guide&from=,1,1
51,/404.html?page=/ssi/&from=,2,2
52,/404.html?page=/ssi/login&from=,4,3
53,/404.html?page=/ssi/trac&from=,1,1
54,/404.html?page=/ssi/user&from=,3,3
55,/404.html?page=/ssi&from=,2,2
56,/about,103,86
57,/about?hw=,23,21
58,/about/advisory-board,11,9
59,/about/cite-us,2,2
60,/about/contact,36,35
61,/about/how-cite-us,18,7
62,/about/media,1,1
63,/about/our-partners,16,15
64,/about/people,194,96
65,/about/people?mpw=,1,1
66,/about/people/,1,1
67,/about/people/aleksandra-pawlik,43,38
68,/about/people/alexander-hay,41,33
69,/about/people/arno-proeme,2,2
70,/about/people/carole-goble,42,40
71,/about/people/david-de-roure,7,5
72,/about/people/devasena-inupakutika,19,17
73,/about/people/giacomo-peru,13,12
74,/about/people/john-robinson,7,2
75,/about/people/justin-bradley-0,2,2
76,/about/people/les-carr,8,8
77,/about/people/malcolm-atkinson,2,2
78,/about/people/mario-antonioletti,3,3
79,/about/people/mark-parsons,4,3
80,/about/people/mike-jackson,14,10
81,/about/people/neil-chue-hong,17,14
82,/about/people/rob-baxter,1,1
83,/about/people/shoaib-sufi,7,6
84,/about/people/simon-hettrick,18,10
85,/about/people/steve-crouch,4,4
86,/agents,1,1
87,/agents/agent-profiles,4,4
88,/american-geophysical-union-fall-meeting-2013,3,2
89,/astonishingly-fast-fitting-models-big-datasets,3,3
90,/banner-1188,7,3
91,/behaviour-energy-and-climate-change-conference-2012,1,1
92,/best-blog,16,8
93,/blog,245,181
94,/blog?page=1,25,23
95,/blog?page=2,13,12
96,/blog?page=20,1,1
97,/blog?page=21,1,1
98,/blog?page=3,8,7
99,/blog?page=4,5,4
100,/blog?page=5,2,2
101,/blog?page=6,3,3
102,/blog?page=7,2,2
103,/blog/,7,6
104,/blog/137,1,1
105,/blog/2010-09-14-oyez-oyez-oyez-plenty-shout-about-ahm-2010,1,1
106,/blog/2010-10-13-ask-steve-welcome-ask-steve,1,1
107,/blog/2010-12-15-ask-steve-what-test-driven-development,1,1
108,/blog/2010-12-16-experiences-paraview-and-python,11,10
109,/blog/2011-01-17-continuous-integration-gets-new-butler,1,1
110,/blog/2011-01-18-thinking-about-migrating-different-repository,1,1
111,/blog/2011-01-25-ask-steve-c-or-not-c-which-programming-language-should-i-use,1,1
112,/blog/2011-02-14-ask-steve-how-meet-perfect-developer,1,1
113,/blog/2011-02-17-ask-steve-c-or-not-c-which-programming-language-should-i-use-part-ii,1,1
114,/blog/2011-02-23-sword-software-ontology-research-description,3,2
115,/blog/2011-03-17-ask-steve-c-or-not-c-which-programming-language-should-i-use-part-iii,2,2
116,/blog/2011-04-01-ask-steve-bug-back,1,1
117,/blog/2011-04-11-grid-computing-explained-european-grid-infrastructure-user-forum,1,1
118,/blog/2011-04-11-grid-computing-explained-european-grid-initiative-user-forum,2,1
119,/blog/2011-04-12-ask-steve-how-specify-and-implement-data-movement,2,2
120,/blog/2011-04-14-coder-programmer-or-software-developer-spot-difference,231,220
121,/blog/2011-04-19-ancient-greeks-knew-thing-or-two-about-software-problems,2,2
122,/blog/2011-05-02-publish-or-be-damned-alternative-impact-manifesto-research-software,4,3
123,/blog/2011-05-02-publish-or-be-damned-alternative-impact-manifesto-research-software?mpw=,2,2
124,/blog/2011-05-27-ask-steve-how-develop-code-avoid-dependency-problems,1,1
125,/blog/2011-06-02-commercialising-your-software,12,8
126,/blog/2011-06-22-ask-steve-developing-software-open-way-part-i,1,1
127,/blog/2011-06-22-what-makes-good-code-good,11,11
128,/blog/2011-06-29-ask-steve-developing-software-open-way-part-ii,1,1
129,/blog/2011-07-08-why-reproducibility-important,1,1
130,/blog/2011-07-13-ask-steve-unit-test-framework-matlab,1,1
131,/blog/2011-07-22-ask-steve-use-software-your-project-after-some-travel-money-become-agent,1,1
132,/blog/2011-07-27-ask-steve-developer-why-should-you-care-about-research-field-you-work,1,1
133,/blog/2011-08-05-egi-training-marketplace,1,1
134,/blog/2011-08-31-training-researchers-code-university-glasgow,1,1
135,/blog/2011-09-02-wtfsmin-indicator-code-quality,11,9
136,/blog/2011-09-12-ask-steve-security-decay-enter-dragon,1,1
137,/blog/2011-09-12-ask-steve-security-decay-enter-dragon-0,1,1
138,/blog/2011-09-22-chemistry-experiments-computer-instead-bench-top,1,1
139,/blog/2011-09-26-its-good-share,2,1
140,/blog/2011-10-04-beyond-weather-metum-and-art-weather-forecasting,1,1
141,/blog/2011-10-26-ask-steve-choosing-suitable-open-source-software,1,1
142,/blog/2011-11-14-ten-hints-testing-eclipse-plug-ins,2,1
143,/blog/2011-11-18-body-scanning-and-patterned-socks,1,1
144,/blog/2011-11-30-celery-not-be-sniffed,10,9
145,/blog/2011-12-02-i-am-not-light-bulb,26,4
146,/blog/2011-12-16-what-makes-good-code-good-digital-social-research-view,38,34
147,/blog/2011-12-22-scala-fewer-lines-code-and-better-pay,1,1
148,/blog/2012-01-19-how-easy-it-teach-software-skills?mpw=,12,11
149,/blog/2012-02-17-what-makes-good-code-good-and-peer-software-reviewing-dev8d,3,3
150,/blog/2012-03-05-five-easy-steps-promoting-your-software,1,1
151,/blog/2012-03-05-five-top-tips-promoting-your-software,86,78
152,/blog/2012-03-18-students-view-advanced-school-scientific-software-development,1,1
153,/blog/2012-03-23-announcing-journal-open-research-software-software-metajournal,9,9
154,/blog/2012-03-27-rtfm-four-letter-word,16,14
155,/blog/2012-04-04-extending-and-documenting-robocup-rescue,1,1
156,/blog/2012-04-12-where-do-you-publish-your-results,1,1
157,/blog/2012-04-16-marrying-prince2-agile-development,46,43
158,/blog/2012-04-16-marrying-prince2-agile-development?mpw=,32,30
159,/blog/2012-04-18-getting-started-atlasti,1,1
160,/blog/2012-04-19-top-tips-using-open-source-repository,4,4
161,/blog/2012-04-20-ocean-sciences-meeting-2012-salt-lake-city-usa?mpw=,1,1
162,/blog/2012-04-20-top-tips-migrating-open-source-repository,2,2
163,/blog/2012-04-23-how-encourage-developers-share-code,1,1
164,/blog/2012-04-23-work-scientific-software-engineers-recognised-academia,9,9
165,/blog/2012-04-26-ask-steve-self-assessing-your-own-software-very-nifty-resource,1,1
166,/blog/2012-04-26-top-5-tips-releasing-software,1,1
167,/blog/2012-04-26-top-five-donts-software-development,19,19
168,/blog/2012-04-26-top-five-donts-software-development?mpw=,8,7
169,/blog/2012-04-30-ask-steve-oi-does-my-code-smell-i-ve-been-told-it-does-i-can-t-smell-nuffink-how-do-,1,1
170,/blog/2012-05-01-scientific-software-developer-academia,3,2
171,/blog/2012-05-02-uks-first-software-carpentry-boot-camp,17,16
172,/blog/2012-05-03-five-tops-tips-documentation,3,3
173,/blog/2012-05-04-ask-steve-so-what-shouldn-t-you-do,1,1
174,/blog/2012-05-09-five-top-tips-developing-android-apps,42,40
175,/blog/2012-05-09-five-top-tips-developing-android-apps?mpw=,1,1
176,/blog/2012-05-15-clear-climate-code-rewriting-legacy-science-software-clarity,1,1
177,/blog/2012-05-16-ask-steve-giving-birth-software-there-s-so-much-know,1,1
178,/blog/2012-05-16-now-its-our-turn-software-carpentry-newcastle,3,3
179,/blog/2012-05-16-top-five-tips-releasing-software,14,14
180,/blog/2012-06-06-what-infrastructure-do-you-need-start-developing-research-software-our-top-tips,7,7
181,/blog/2012-06-20-ask-steve-when-optimise,1,1
182,/blog/2012-06-20-migrating-sourceforge-wordpress-blog-hosted-apps-walkthrough,10,6
183,/blog/2012-06-20-migrating-sourceforge-wordpress-blog-hosted-apps-walkthrough?mpw=,38,18
184,/blog/2012-06-22-how-describe-software-you-used-your-research-top-ten-tips,1,1
185,/blog/2012-06-29-sicsa-2012,2,2
186,/blog/2012-07-02-hosted-continuous-integration-servers-infrastructure,19,15
187,/blog/2012-07-06-raising-stakes-ontologies,1,1
188,/blog/2012-07-10-why-researchers-should-avoid-reality,1,1
189,/blog/2012-07-16-ask-steve-perfect-portal-portlet-portability,1,1
190,/blog/2012-07-16-infrastructure-closer-collaboration-our-top-tips,1,1
191,/blog/2012-07-17-infrastructure-unselfish-software-development-collection-top-tips,4,4
192,/blog/2012-07-17-new-approach-software-design-better-stories,3,3
193,/blog/2012-07-27-r-or-not-r-royal-statistical-society,2,2
194,/blog/2012-08-09-infrastructure-project-proposals-our-top-tips,2,2
195,/blog/2012-08-16-what-research-software-community-and-why-should-you-care,1,1
196,/blog/2012-08-28-evolution-farm-tree,1,1
197,/blog/2012-09-19-choose-your-own-adventure,4,3
198,/blog/2012-09-26-panic-what-i-did-when-my-expert-left,1,1
199,/blog/2012-09-28-multi-disciplinary-software-construction-workshop,1,1
200,/blog/2012-10-08-data-sustainability-polar-perspective,1,1
201,/blog/2012-10-15-social-network-fatigue,2,2
202,/blog/2012-10-18-making-python-more-accessible-scientists-and-more-powerful,1,1
203,/blog/2012-10-18-making-python-more-accessible-scientists-and-more-powerful?mpw=,1,1
204,/blog/2012-10-26-top-tips-writing-press-release,5,5
205,/blog/2012-11-02-top-tips-helpers-software-carpentry-bootcamp,10,9
206,/blog/2012-11-06-hosting-software-carpentry-boot-camp-top-tips,5,4
207,/blog/2012-11-07-software-carpentry-oxford,3,3
208,/blog/2012-11-09-consultancy-online-psychology-application,3,3
209,/blog/2012-11-09-craftsperson-and-scholar,5,5
210,/blog/2012-11-09-craftsperson-and-scholar?mpw=,23,20
211,/blog/2012-11-12-revision-control-not-just-source-code-morality-tale,2,2
212,/blog/2012-11-19-helping-researchers-be-better-software-developers-job-opportunity-software-developer,2,2
213,/blog/2012-11-27-twitter-tips-what-i-have-learned-about-getting-more-followers,6,2
214,/blog/2012-12-12-architect-and-scholar,7,6
215,/blog/2013-01-08-top-tips-instructors-software-carpentry-boot-camp,4,4
216,/blog/2013-01-10-stem-not-just-boys,1,1
217,/blog/2013-01-10-ten-simple-rules-open-development-scientific-software,2,2
218,/blog/2013-01-21-why-isnt-there-more-open-source-research,1,1
219,/blog/2013-01-21-why-isnt-there-more-open-source-research/,2,2
220,/blog/2013-01-25-being-business-experiences-research-project,2,2
221,/blog/2013-01-25-haters-gonna-hate-why-you-shouldnt-be-ashamed-releasing-your-code,8,6
222,/blog/2013-02-27-future-semantic-web-cultural-heritage-and-privacy,6,6
223,/blog/2013-02-28-systems-biology-hyperbole-and-hypotheses,1,1
224,/blog/2013-03-07-collaborations-workshop-2013-many-many-reasons-attend,1,1
225,/blog/2013-03-13-art-software-recycling,1,1
226,/blog/2013-03-14-don-t-make-hashtag-twitter,2,1
227,/blog/2013-04-09-five-stars-research-software,2,2
228,/blog/2013-04-10-how-we-got-1000-twitter-followers,19,19
229,/blog/2013-04-16-software-carpentry-highlights-egi-community-forum?mpw=,5,5
230,/blog/2013-04-19-software-carpentry-makes-its-debut-manchester,2,2
231,/blog/2013-04-23-digital-revolution-palaeontology,10,9
232,/blog/2013-04-23-introducing-three-great-open-source-packages,1,1
233,/blog/2013-04-26-why-are-so-many-biologists-scared-programming,1,1
234,/blog/2013-05-01-why-are-so-many-biologists-scared-programming,8,8
235,/blog/2013-05-07-cutting-edge-tools-cutting-edge-results,1,1
236,/blog/2013-05-10-top-tips-editing-other-peoples-writing,7,7
237,/blog/2013-05-13-top-tips-packaging-software,7,7
238,/blog/2013-05-14-if-we-value-software-we-need-fundamental-sea-change-academia,2,2
239,/blog/2013-05-15-oxford-doctoral-training-centre-gets-software-carpentry,2,2
240,/blog/2013-05-16-top-tips-choosing-computing-infrastructure,2,2
241,/blog/2013-05-17-invaluable-contribution-open-source-software-research,5,4
242,/blog/2013-05-20-top-ten-reasons-not-share-your-code-and-why-you-should-anyway,6,6
243,/blog/2013-05-22-top-tips-porting-application-computing-infrastructure,6,5
244,/blog/2013-05-28-ontologies-handle-care,1,1
245,/blog/2013-05-30-do-you-know-who-owns-your-intellectual-property,5,5
246,/blog/2013-06-07-top-tips-working-technical-writer,8,8
247,/blog/2013-06-10-software-carpentry-southampton,1,1
248,/blog/2013-06-18-monkeying-around-chemistry-apes-project,1,1
249,/blog/2013-06-19-little-book-software-struggles-and-other-great-ideas-our-fellows,1,1
250,/blog/2013-06-25-day-software-life-antarctic-marine-biogeographer,2,2
251,/blog/2013-06-28-software-carpentry-bootcamp-women-science-and-engineering-boston,5,5
252,/blog/2013-07-02-building-good-working-relationship-top-tips,2,2
253,/blog/2013-07-02-research-what-wonderful-open-source-world,1,1
254,/blog/2013-07-02-research-what-wonderful-open-source-world/,2,2
255,/blog/2013-07-03-building-good-working-relationship-top-tips,1,1
256,/blog/2013-07-09-recomputation-manifesto,30,29
257,/blog/2013-07-15-strengthening-bone-shape-analysis,2,2
258,/blog/2013-07-17-taking-sci-bus-around-world,2,2
259,/blog/2013-07-23-update-your-paper-often-you-update-your-software,1,1
260,/blog/2013-07-24-software-carpentry-bootcamp-indiana-university,5,4
261,/blog/2013-07-25-how-rebuild-dinosaur,9,8
262,/blog/2013-07-25-workshop-e-infrastructure-trainers-sold-out-and-more-places-added?mpw=,18,9
263,/blog/2013-07-26-breaking-barrier-software-maturity-three-open-call-projects,9,7
264,/blog/2013-07-29-why-scientists-and-engineers-must-learn-programming,2,2
265,/blog/2013-07-30-dirac-driving-test-ready-roll,34,29
266,/blog/2013-07-31-should-we-be-scared-choosing-oss-licence,7,2
267,/blog/2013-08-01-leg-lower-limb-model,3,2
268,/blog/2013-08-05-we-need-recognise-people-behind-research-software,11,10
269,/blog/2013-08-05-we-need-recognise-people-behind-research-software?goback=.gde_90488_member_263385282,5,5
270,/blog/2013-08-05-we-need-recognise-people-behind-research-software?mpw=,1,1
271,/blog/2013-08-06-3d-printing-new-google-phone-news-round-5-august-2013,1,1
272,/blog/2013-08-08-predicting-biomass-yield-enhance-energy-security-and-meet-emissions-targets,5,5
273,/blog/2013-08-13-open-science-reproducibility-biosciences-ismb-bosc-2013,1,1
274,/blog/2013-08-19-heroes-software-engineering,5,5
275,/blog/2013-08-19-heroes-software-engineering-welsh-and-quinn,2,2
276,/blog/2013-08-22-pathways-impact-suggests-including-technical-writers-your-bid,5,4
277,/blog/2013-08-23-ten-reasons-be-research-software-engineer,210,189
278,/blog/2013-08-23-ten-reasons-be-research-software-engineer?mpw=,1,1
279,/blog/2013-08-23-what-makes-good-code-good-intecol13,16,15
280,/blog/2013-08-23-what-makes-good-code-good-intecol13?mpw=,5,5
281,/blog/2013-08-27-heroes-software-engineering-mcillroy-and-thompson,3,3
282,/blog/2013-08-30-defence-digital-humanities,10,9
283,/blog/2013-09-02-encouraging-citation-software-introducing-citation-files,10,10
284,/blog/2013-09-02-fellows-2014-programme-coming-soon,2,2
285,/blog/2013-09-03-simulating-wave-turbulence-and-suspended-particle-transport,19,14
286,/blog/2013-09-05-heroes-software-engineering-tim-berners-lee,5,4
287,/blog/2013-09-18-heroes-software-engineering-men-and-women-transitive,3,3
288,/blog/2013-09-20-introducing-sesc,5,5
289,/blog/2013-09-23-now-agenda-american-geophysical-union-software-and-research,2,2
290,/blog/2013-09-24-dark-arts-particle-physics-software,9,7
291,/blog/2013-09-27-how-do-we-know-research-software-correct,2,2
292,/blog/2013-09-30-heroes-software-engineering-miron-livny-and-htcondor,19,17
293,/blog/2013-09-30-top-tips-version-control,10,10
294,/blog/2013-10-04-dark-arts-particle-physics-software,16,16
295,/blog/2013-10-04-top-tips-software-data-visualisation,21,18
296,/blog/2013-10-04-top-tips-software-data-visualisation?mpw=,1,1
297,/blog/2013-10-07-shining-light-open-source-licences-scientific-software,5,4
298,/blog/2013-10-08-five-tips-healthcare-app-development,26,26
299,/blog/2013-10-08-healthcare-professionals-key-element-sustainable-app-development,4,3
300,/blog/2013-10-10-top-tips-software-development-hand-overs,51,46
301,/blog/2013-10-11-crowd-sourced-computer-networks,15,12
302,/blog/2013-10-11-heroes-software-engineering-david-howarth-atlas-supervised,4,4
303,/blog/2013-10-14-healthcare-professionals-key-element-sustainable-app-development,10,10
304,/blog/2013-10-16-seiuccr-summer-school-2013-what-makes-good-code-good,2,2
305,/blog/2013-10-18-what-are-they-studying-russell-group-universities,2,2
306,/blog/2013-10-18-what-are-they-studying-russell-group-universities?mpw=,21,17
307,/blog/2013-10-22-would-you-free-help-your-software,4,3
308,/blog/2013-10-23-taking-peek-eye-disease,29,25
309,/blog/2013-10-23-taking-peek-eye-disease?mpw=,12,12
310,/blog/2013-10-25-heroes-software-engineering-brian-kernighan-man-who-put-k,13,12
311,/blog/2013-10-28-what-makes-good-code-good-mozfest,32,30
312,/blog/2013-10-29-top-tips-expanding-your-user-community,4,4
313,/blog/2013-10-29-whats-wrong-computer-scientists,135,123
314,/blog/2013-10-31-whats-wrong-computer-scientists,259,221
315,/blog/2013-10-31-whats-wrong-computer-scientists?mpw=,2,2
316,/blog/2013-11-01-big-data-brain-drain-why-science-trouble,12,9
317,/blog/2013-11-01-big-data-brain-drain-why-science-trouble?mpw=,1,1
318,/blog/2013-11-04-uk-polar-network-2013-software-and-polar-research-workshop,1,1
