,ga:pagepath,ga:pageviews,ga:uniquepageviews
0,/,339,268
1,/403.html?page=/join-our-agents-network&from=,1,1
2,/404.html?page=/agents<http://www.software.ac.uk/agents&from=,1,1
3,/404.html?page=/managing-software-exercise--0&from=,1,1
4,/404.html?page=/managing-software-exercise-2-0&from=,1,1
5,/404.html?page=/resources.guides&from=,1,1
6,/404.html?page=/users&from=,1,1
7,/about,56,44
8,/about/cite-us,2,2
9,/about/contact,26,23
10,/about/media,7,6
11,/about/our-partners,22,20
12,/about/people,55,48
13,/agent-reports,27,23
14,/agents,108,89
15,/agents/,2,1
16,/agents/agent-profiles,127,105
17,/agents/more-information-about-agent-network,57,46
18,/astonishingly-fast-fitting-models-big-datasets,3,3
19,/blog,49,40
20,/blog?page=1,6,4
21,/blog?page=2,4,3
22,/blog?page=3,7,4
23,/blog?page=4,12,10
24,/blog/,2,2
25,/blog/2010-11-26-changing-software-nightmare-tracking-scientific-data,1,1
26,/blog/2010-12-16-experiences-paraview-and-python,3,2
27,/blog/2011-01-11-increasing-our-understanding-location-geotod-ii,1,1
28,/blog/2011-01-11-organising-successful-event-cw11,1,1
29,/blog/2011-01-17-continuous-integration-gets-new-butler,2,1
30,/blog/2011-01-18-thinking-about-migrating-different-repository,7,7
31,/blog/2011-02-17-dev8d-dipping-toe-developers-world,14,7
32,/blog/2011-02-23-sword-software-ontology-research-description,4,3
33,/blog/2011-02-28-open-source-community-simplified,1,1
34,/blog/2011-03-10-view-collaborations-workshop,1,1
35,/blog/2011-03-10-view-collaborations-workshop-hugh-glaser,2,1
36,/blog/2011-04-01-all-publicity-good-publicity,1,1
37,/blog/2011-04-11-grid-computing-explained-european-grid-initiative-user-forum,3,3
38,/blog/2011-04-11-three-tips-software-sustainability-egi-user-forum,2,2
39,/blog/2011-04-12-what-do-we-want-fewer-abbreviations-when-do-we-want-them-asap,3,3
40,/blog/2011-04-14-coder-programmer-or-software-developer-spot-difference,23,22
41,/blog/2011-04-19-ancient-greeks-knew-thing-or-two-about-software-problems,1,1
42,/blog/2011-05-02-publish-or-be-damned-alternative-impact-manifesto-research-software,5,4
43,/blog/2011-05-23-scientists-solve-one-africa-s-oldest-animal-plagues,1,1
44,/blog/2011-06-02-commercialising-your-software,13,8
45,/blog/2011-06-22-what-makes-good-code-good,5,5
46,/blog/2011-06-29-were-all-engineers-now,2,2
47,/blog/2011-07-08-why-reproducibility-important,2,2
48,/blog/2011-07-21-agent-applications-start-flood,4,3
49,/blog/2011-08-04-open-research-computation-ordinary-journal-extraordinary-aims,9,7
50,/blog/2011-08-05-egi-training-marketplace,5,4
51,/blog/2011-08-10-learn-how-use-national-e-resources-and-manage-your-software-and-data,2,1
52,/blog/2011-08-17-technology-transfer-and-software-sustainability,4,4
53,/blog/2011-08-25-integrating-orthopaedic-systems-more-knee-jerk-reaction,4,4
54,/blog/2011-08-31-training-researchers-code-university-glasgow,21,20
55,/blog/2011-09-02-wtfsmin-indicator-code-quality,50,34
56,/blog/2011-09-22-chemistry-experiments-computer-instead-bench-top,19,16
57,/blog/2011-09-22-i-didnt-want-be-project-manager,61,46
58,/blog/2011-09-26-its-good-share,11,11
59,/blog/2011-09-29-what-will-climate-change-do-our-wheat,17,7
60,/comment/reply/228,2,1
61,/content-summary,1,1
62,/creating-videos-software-projects,1,1
63,/events,14,12
64,/events/2010-11-15-competing-globally-regional-world,1,1
65,/events/2011-03-30-software-ontology-resource-description,4,4
66,/events/2011-03-30-understanding-provenance-and-linked-open-data,4,4
67,/events/2011-04-11-automating-quality-assurance-project-aqua-project-events,6,6
68,/events/2011-05-27-free-cloud-services-workshop-27-may-2011-university-southampton,3,2
69,/events/2011-06-08-xldb-extremely-large-databases-europe-2011,2,2
70,/events/2011-09-05-transfersummit-2011-open-innovation-everywhere,2,2
71,/events/2011-09-12-using-e-infrastructure-research-summer-school,2,1
72,/events/2011-09-19-egi-technical-forum-2011,6,4
73,/events/2011-09-20-call-software-solutions-national-centre-replacement-refinement-and-reduction-anima,3,2
74,/events/2011-09-26-e-science-all-hands-meeting-2011,29,26
75,/events/2011-11-06-eresearch-australasia-2011-extreme-eresearch,1,1
76,/events/2011-11-29-3rd-ieee-international-conference-cloud-computing-technology-and-science-ieee-clou,36,29
77,/events/2011-12-05-ieee-international-conference-utility-and-cloud-computing,8,7
78,/events/2011-12-05-workshop-d3science,4,4
79,/events/2012-02-20-advanced-school-scientific-software-development-concepts-and-tools,1,1
80,/events/2012-07-03-summer-science-exhibition-2012-royal-society,1,1
81,/events/archive,2,1
82,/help-travel-requests-and-conference-reports,10,10
83,/helping-surgeons-adopt-software,4,4
84,/home/cw11,40,38
85,/home/cw11/breakouts,1,1
86,/home/cw11/cw11-agenda,2,2
87,/home/cw11/cw11-materials,3,3
88,/home/cw11/giving-good-lightning-talk,1,1
89,/home/cw11/posters,2,1
90,/how-frustrate-your-users-annoy-other-developers-and-please-lawyers,4,4
91,/login,2,2
92,/managing-software-exercise-1,1,1
93,/managing-software-exercise-1-0,77,32
94,/more-information-about-agent-network,3,3
95,/news,27,21
96,/news?page=1,2,2
97,/news?page=2,1,1
98,/news?page=3,2,2
99,/news/2010-11-15-want-migrate-your-software-nescforge-we-can-help,1,1
100,/news/2011-02-02-website-launch-digital-social-research,2,2
101,/news/2011-03-25-brain-research-imaging-centre-edinburgh-bric-edinburgh-projects-sourceforge,22,14
102,/news/2011-05-11-gridpps-neasan-oneil-comments-collaborations-workshop,1,1
103,/news/2011-05-31-here-be-dragons-and-workload-management-systems,10,9
104,/news/2011-07-27-next-generation-research-and-oxford-e-social-science,2,2
105,/news/2011-08-08-agents-applications-must-be-submitted-1200-tonight-8-august,1,1
106,/news/2011-08-17-ngs-secure-funding-until-july-2012,6,5
107,/news/2011-08-22-towards-cloud-uk-e-science-ahm,1,1
108,/news/2011-08-26-solution-problem-abbreviations-or-asttpoa-we-call-it,5,5
109,/news/2011-08-30-peering-under-sarongs,22,13
110,/news/2011-08-31-strategic-plan-uk-research-computing-ecosystem,34,27
111,/news/2011-09-12-enter-dragon-asksteve,10,8
112,/news/2011-09-15-research-assistant-position-bristol-university,9,9
113,/news/2011-09-21-announcing-our-agents-2011,3,2
114,/news/2011-09-21-meet-champions-workshop-ahm-2011,4,4
