,ga:pagepath,ga:pageviews,ga:uniquepageviews
0,/,450,257
1,/403.html?page=/blog/2011-04-05-adventures-cloud-part-1-getting-ground&from=http://www.software.ac.uk/blog,2,2
2,/403.html?page=/blog/2011-04-14-coder-programmer-or-software-developer-spot-difference&from=http://trac.software.ac.uk/ssi/ticket/181,1,1
3,/403.html?page=/blog/2011-04-14-coder-programmer-or-software-developer-spot-difference&from=http://www.software.ac.uk/blog,2,2
4,/403.html?page=/snags&from=,3,2
5,/403.html?page=/what-do-we-do/google-summer-of-code/project-idea-template-student&from=http://www.google.com.my/url?sa=t&source=web&cd=3&ved=0CCUQFjAC&url=http://www.software.ac.uk/what-do-we-do/google-summer-of-code/project-idea-template-student&rct=j&q=student template idea&ei=4DeoTYy_CMPqrQfV_YioCA&usg=AFQjCNFA9BRYQ3iCUqujRaT3CkMZUbZrSg&cad=rja,1,1
6,/404.html?page=/amdin&from=,1,1
7,/404.html?page=/devcsi-support-developers&from=http://twitter.com/SoftwareSaved,1,1
8,/404.html?page=/event&from=,1,1
9,/404.html?page=/events/archive&from=,1,1
10,/404.html?page=/home/cw11/cw11-map-venues&from=,1,1
11,/404.html?page=/home/CW2011&from=,1,1
12,/404.html?page=/modules/v&from=,1,1
13,/404.html?page=/node/1/&from=,1,1
14,/404.html?page=/snag&from=,1,1
15,/404.html?page=/themes/ssi/logo.pn&from=,1,1
16,/about,35,30
17,/about/cite-us,3,3
18,/about/contact,13,12
19,/about/media,1,1
20,/about/our-partners,16,15
21,/about/people,40,34
22,/advice-for-editors,2,2
23,/astonishingly-fast-fitting-models-big-datasets,2,1
24,/banner-145,2,1
25,/batch?op=start&id=27,1,1
26,/batch?op=start&id=28,2,2
27,/batch?op=start&id=30,2,1
28,/blog,145,84
29,/blog?page=1,3,3
30,/blog?q=ssi-blog,9,1
31,/blog/?q=ssi-blog,1,1
32,/blog/1,1,1
33,/blog/2010-10-14-riding-wave,1,1
34,/blog/2010-11-24-what-cloud-computing-got-right,22,21
35,/blog/2010-12-16-experiences-paraview-and-python,8,5
36,/blog/2010-12-21-geotod-ii-linked-data-demonstrator-live,1,1
37,/blog/2011-01-11-organising-successful-event-cw11,4,2
38,/blog/2011-01-18-thinking-about-migrating-different-repository,6,6
39,/blog/2011-02-17-dev8d-dipping-toe-developers-world,2,1
40,/blog/2011-02-23-sword-software-ontology-research-description,8,6
41,/blog/2011-03-10-view-collaborations-workshop,1,1
42,/blog/2011-03-14-view-collaborations-workshop-rob-allan,2,2
43,/blog/2011-03-24-applications-distributed-world,5,4
44,/blog/2011-04-01-all-publicity-good-publicity,11,11
45,/blog/2011-04-05-adventures-cloud-part-1-getting-ground,5,5
46,/blog/2011-04-11-european-grid-computing-explained,2,1
47,/blog/2011-04-11-grid-computing-explained-european-grid-infrastructure-user-forum,12,7
48,/blog/2011-04-11-grid-computing-explained-european-grid-initiative-user-forum,7,5
49,/blog/2011-04-11-three-tips-software-sustainability-egi-user-forum,73,44
50,/blog/2011-04-12-what-do-we-want-fewer-abbreviations-when-do-we-want-them-asap,33,22
51,/blog/2011-04-14-coder-programmer-or-software-developer-spot-difference,51,39
52,/blog/2011-04-19-ancient-greeks-knew-thing-or-two-about-problems-software,1,1
53,/blog/2011-04-19-ancient-greeks-knew-thing-or-two-about-software-problems,27,15
54,/comment/delete/1,1,1
55,/comment/edit/2,2,2
56,/comment/reply/230,2,2
57,/content-summary,2,2
58,/events,50,26
59,/events?page=1,1,1
60,/events/2011-03-03-collaborations-workshop,2,1
61,/events/2011-03-30-software-ontology-resource-description,6,6
62,/events/2011-03-30-understanding-provenance-and-linked-open-data,3,3
63,/events/2011-04-11-automating-quality-assurance-project-aqua-project-events,39,31
64,/events/2011-05-27-free-cloud-services-workshop-27-may-2011-university-southampton,7,4
65,/events/2011-06-08-iwsg-life-2011,2,2
66,/events/2011-06-15-acm-web-science-conference-2011,4,4
67,/events/2011-09-26-e-science-all-hands-meeting-2011,9,8
68,/events/2011-11-06-eresearch-australasia-2011-extreme-eresearch,2,2
69,/events/2011-11-06-eresearch-australasia-2011-extreme-eresearch-australia,2,1
70,/events/archive,13,5
71,/events/archive?page=1,2,2
72,/events/events-archive,1,1
73,/home/cw11,50,39
74,/home/CW11,3,2
75,/home/cw11/cw11-agenda,24,23
76,/home/cw11/cw11-materials,30,15
77,/home/cw11/giving-good-lightning-talk,14,11
78,/home/cw11/lightning-talks,7,4
79,/how-frustrate-your-users-annoy-other-developers-and-please-lawyers,111,98
80,/login,13,9
81,/news,76,26
82,/news?page=1,4,3
