,ga:pagepath,ga:pageviews,ga:uniquepageviews
0,/,1822,1075
1,/?ref=hexometer,7,7
2,/3rd-international-ubi-summer-school-2012,1,1
3,/403.html?page=/about/people/funders&from=https://software.ac.uk/about/people?_ga=2.44327650.71475349.1578724452-705746072.1578724452,1,1
4,/403.html?page=/about/people/john-robinson&from=https://software.ac.uk/blog/2015-08-07-new-network-support-research-software-groups-across-uk?_ga=2.156104690.891793815.1561539411-2136342297.1555488175,1,1
5,/403.html?page=/about/people/partners&from=https://software.ac.uk/about/people,1,1
6,/403.html?page=/about/people/partners&from=https://software.ac.uk/about/people?_ga=2.44327650.71475349.1578724452-705746072.1578724452,1,1
7,/403.html?page=/about/people/selina-aragon&from=,1,1
8,/403.html?page=/about/people/shoaib-sufi&from=https://software.ac.uk/cw19/steering-committee,1,1
9,/403.html?page=/admin/content&from=https://www.software.ac.uk/about/fellows/emily-bell,1,1
10,/403.html?page=/blog/2020-01-17-software-design-just-20-questions&from=,1,1
11,/403.html?page=/news/uk-reproducibility-network-and-software-sustainability-institute-join-forces&from=,5,3
12,/403.html?page=/what-do-we-know-about-rses-results-our-international-surveys&from=https://github.com/softwaresaved/international-survey,1,1
13,/404.html?page=/abo&from=,1,1
14,/404.html?page=/about[2&from=,10,10
15,/404.html?page=/about//fellows&from=,1,1
16,/404.html?page=/blog/2014-12-04-its-impossible-conduct-research-without-software-say-7-out-10-uk-researchers}&from=,1,1
17,/404.html?page=/blog/2016-09-12-its-impossible-conduct-research-withoutsoftware-say-7-out-10-uk-researchers&from=,1,1
18,/404.html?page=/blog/2016-10-07-how-cite-and-describe-software-you-used-your-research-top-ten-tipsFLIR QuickReport 1.2 SP2 software&from=,1,1
19,/404.html?page=/blog/2017-04-14-texgen-open-source-software-realistic-geometric-representation-textiles http://eccmr.org/our-sponsors&from=,1,1
20,/404.html?page=/blog/MjAxMy0wOC&from=,2,2
21,/404.html?page=/blog/MjAxNC0xMi&from=,3,3
22,/404.html?page=/blog/MjAxNi0wOS&from=,2,2
23,/404.html?page=/blog/MjAxNS0wMi&from=,2,2
24,/404.html?page=/blog/MjAxNy0wOS&from=,2,2
25,/404.html?page=/blog/MjAxOC0wMy&from=,2,2
26,/404.html?page=/blog/MjAxOC0wNS&from=,2,2
27,/404.html?page=/blog/MjAxOS0wOC&from=,2,2
28,/404.html?page=/blog/MjAxOS0xMi&from=,1,1
29,/404.html?page=/choosing-repository-your-software-project&kp=1&from=,2,2
30,/404.html?page=/d2hpY2gtam&from=,1,1
