,ga:pagepath,ga:pageviews,ga:uniquepageviews
0,/,1411,1121
1,/20th-annual-international-conference-intelligent-systems-molecular-biology-ismb,1,1
2,/25th-ieee-computer-based-medical-systems-cbms-2012,3,3
3,/303/,1,1
4,/30th-conference-international-society-biomechanics-sports-isbs,4,4
5,/3d-body-scanning-technologies,15,15
6,/3rd-international-ubi-summer-school-2012,1,1
7,/403.html?page=/blog/2014-02-24-recomputationorg-snappy-title-required&from=,1,1
8,/403.html?page=/blog/2014-03-07-re-imagining-lab-or-when-science-meets-art&from=,1,1
9,/403.html?page=/collaborations-workshop-2014-cw14-software-your-reproducible-research/cw14-collaborative-ideas-group&from=http://www.software.ac.uk/admin,3,2
10,/403.html?page=/collaborations-workshop-2014-cw14-software-your-reproducible-research/cw14-food-and-drink&from=,1,1
11,/403.html?page=/node/1283&from=,1,1
12,/403.html?page=/node/1311&from=http://t.co/fZJ59lyYTJ,1,1
13,/403.html?page=/resources/guides-everything/how-write-case-funding-software-developer&from=http://www.software.ac.uk/blog/2014-03-24-top-tips-writing-case-funding-software-developer,6,5
14,/403.html?page=/resources/guides/adopting-open-source-licence&from=http://software.ac.uk/blog/2012-05-16-top-five-tips-releasing-software,1,1
15,/403.html?page=/resources/guides/adopting-open-source-licence&from=http://www.software.ac.uk/resources/guides/ready-release,1,1
16,/404.html?page=/ news/2014-02-05- digitalhumanities-2014-dates-announced&from=http://eadh.org/news/2014/02/07/digitalhumanities-oxford-summer-schools-2014-dhoxss,5,4
17,/404.html?page=/ news/2014-02-05- digitalhumanities-2014-dates-announced&from=http://www.eadh.org/news,1,1
18,/404.html?page=/404.html?page=/policy-0/workshop-research-software-engineers&from=http://www.linkedin.com/groupItem?view=&srchtype=discussedNews&gid=90488&item=267094713&type=member&trk=eml-anet_dig-b_pd-ttl-hdp&fromEmail=&ut=2ZlR4AK8r2u5U1&from=,1,1
19,/404.html?page=/attach/ssifellowsexpensesfrmv2.pdf&from=,1,1
20,/404.html?page=/blog/2010-09-14-oyez-oyez-oyez&from=,3,3
21,/404.html?page=/blog/2012-04-20-secret-computer-code-threatens-science&from=,1,1
22,/404.html?page=/blog/2012-08-09-hosted-&from=,1,1
23,/404.html?page=/blog/2013-12-12-top-tips-beating-financial-market-your-code&from=,1,1
24,/404.html?page=/blog/2013-12-12-top-tips-taking-markets-your-code&from=,1,1
25,/404.html?page=/blog/2013‐07‐09‐recomputation‐manifesto&from=,1,1
26,/404.html?page=/blog/2014-02-14-can-you-lean-code-free&from=,1,1
27,/404.html?page=/collaborations-workshop-2014-cw14-software-your-reproducible-researc&from=,1,1
28,/404.html?page=/collaborations-workshop-2014-cw14-software-your-reproducible-research/cw14-collaborative-ideas-group&from=,13,8
