,ga:pagepath,ga:pageviews,ga:uniquepageviews
0,/,2322,1946
1,/25th-ieee-computer-based-medical-systems-cbms-2012,1,1
2,/403.html?page=/admin/config/search/path/patterns&amp;from=https://www.software.ac.uk/node/2062/edit,1,1
3,/403.html?page=/blog/2016-08-03-cloud-computing-proposals-wanted-internet-things-research&amp;from=,2,2
4,/403.html?page=/blog/2016-08-15-automated-testing-boost-recipys-confidence&amp;from=https://www.staffmail.ed.ac.uk/imp/message.php?mailbox=INBOX&index=142853,3,2
5,/403.html?page=/blog/2016-08-26-ensuring-long-term-access-ionomics-hub-ihub&amp;from=,1,1
6,/403.html?page=/fellowship-programme-2016-application-form&amp;from=,1,1
7,/404.html?page=/about/people/malcom-illingworth&amp;from=,1,1
8,/404.html?page=/about/people/toni-collins&amp;from=,2,1
9,/404.html?page=/admin&amp;from=,5,5
10,/404.html?page=/bit.ly/fellows2017-apply&amp;from=https://www.software.ac.uk/fellowship-programme,28,8
11,/404.html?page=/blog/2011-04-14-...&amp;from=http://www.google.co.in/m?q=programmer+vs+coder,1,1
12,/404.html?page=/blog/2011-04-19-ancient-greeks-knew-thing-or-two-about-http://www.homoecumenicus.com/ancient_instruments.htm епилогоном&amp;from=,1,1
13,/404.html?page=/blog/2012-04-23-work-scientific-software-engineers- recognised-academia&amp;from=,2,1
14,/404.html?page=/blog/2013-04-09-five-stars-research-software.&amp;from=,1,1
15,/404.html?page=/blog/2014-03-25-...&amp;from=http://www.google.co.in/search?q=nude+playboy+pic+blog&ie=UTF-8&prmd=ivns&ei=PE21V7O0DoGcjAOP_ZzwBg&start=10&sa=N,1,1
16,/404.html?page=/blog/2014-12-04-its-impossible-conduct-research-without-software-say-7-&amp;from=,1,1
17,/404.html?page=/blog/2016-01-05-first-uk-software-carpentry-works hop-women-science-and-engineering&amp;from=,1,1
18,/404.html?page=/blog/2016-01-05-first-uk-software-carpentry-works&amp;from=,1,1
19,/404.html?page=/blog/2016-03-29&amp;from=,1,1
20,/404.html?page=/blog/2016-04-05-9-steps-quality-research-sfotware?bw&amp;from=,2,2
21,/404.html?page=/blog/2016-07-06-dagstuhl-perspectives-workshop-engineering-academic-software&amp;from=https://t.co/GKDsO3U02u,1,1
22,/404.html?page=/blog/2016-07-07-libre-graphics-meeting-2016&amp;from=https://t.co/iYnIMqfZ4Y,1,1
23,/404.html?page=/blog/2016-07-20-protoms-passes-test-developing-test-suite-biomolecular-simulation-software&amp;from=,1,1
24,/404.html?page=/blog/2016-07-22-protoms-passes-test-developing-test-suite-biomolecular-simulation-software&amp;from=,2,1
25,/404.html?page=/blog/2016-07-22-protoms-passes-test-developing-test-suite-biomolecular-simulation-software&amp;from=https://github.com/,4,1
26,/404.html?page=/blog/2016-07-29-call-information-why-do-good-software-people-leave-academia&amp;from=,6,6
27,/404.html?page=/blog/2016-07-29-call-information-why-do-good-software-people-leave-academia&amp;from=https://t.co/RkPIdGDGNY,15,11
28,/404.html?page=/blog/feed&amp;from=,2,1
29,/404.html?page=/blog/www.software.ac.uk/people/simon-hettrick&amp;from=,1,1
30,/404.html?page=/blog/www.software.ac.uk/people/simon-hettrick&amp;from=https://www.software.ac.uk/blog/2016-08-19-not-so-brief-history-research-software-engineers,2,2
31,/404.html?page=/claimedship-terms-and-conditions-2015&amp;from=,1,1
32,/404.html?page=/claimedship-terms-and-conditions-2016&amp;from=http://localhost:8000/request/,2,1
33,/404.html?page=/fellow/dominic-orchard&amp;from=,1,1
34,/404.html?page=/fellows <http:/www.software.ac.uk/fellows&amp;from=,3,3
35,/404.html?page=/fellows-event-request&amp;from=,1,1
36,/404.html?page=/fellows-programme/2017/launch-webinar&amp;from=,1,1
37,/404.html?page=/fellows-programme/2017/webinar&amp;from=,1,1
38,/404.html?page=/fellows/2017/webinar&amp;from=,1,1
39,/404.html?page=/fellows/terms&amp;from=,1,1
40,/404.html?page=/home/cw11/giving-good-lightning-&amp;from=,1,1
41,/404.html?page=/how-cite-and-describe-software)&amp;from=,3,3
42,/404.html?page=/legacy-sitesdocs/2.3.0/reference/apache_axis/wsdd/wsdd.htm&amp;from=,1,1
43,/404.html?page=/legacy-sitesdocs/2.3.0/reference/apache_axis/wsdd/wsdd.htm&amp;from=http://wiki.openbravo.com/wiki/ERP_2.50:Developers_Guide/Examples/SOAP_WebService,1,1
44,/404.html?page=/legacy-sitesdocs/2.3.3/managed_programme/plotws/about_plotws.htm&amp;from=http://www.gnuplot.info/links.html,4,4
