,ga:pagepath,ga:pageviews,ga:uniquepageviews
0,/,461,324
1,/2012-ocean-sciences-meeting,1,1
2,/3d-body-scanning-technologies,4,4
3,/403.html?page=/blog/2012-04-26-top-5-tips-releasing-software&from=http://asksteve.software.ac.uk/?p=253,1,1
4,/403.html?page=/how-run-software-carpentry-boot-camp&from=http://software.ac.uk/admin,1,1
5,/403.html?page=/how-run-software-carpentry-boot-camp&from=http://trac.software.ac.uk/ssi/ticket/442,1,1
6,/403.html?page=/news/2012-05-04-facts-and-fallacies-software-engineering&from=http://www.software.ac.uk/news,1,1
7,/403.html?page=/snags&from=,3,2
8,/403.html?page=/software-carpentry&from=,1,1
9,/403.html?page=/software-carpentry&from=http://software.ac.uk/admin,2,1
10,/403.html?page=/software-carpentry&from=http://trac.software.ac.uk/ssi/ticket/442,1,1
11,/404.html?page=/blog/2012-04-17-developing-dynamic-biomedic&from=,1,1
12,/404.html?page=/maintainable-software-practices-workshop&from=,1,1
13,/404.html?page=/maintainable-software-practices&from=,1,1
14,/404.html?page=/mikejackson&from=,1,1
15,/404.html?page=/people&from=,1,1
16,/404.html?page=/staff&from=,1,1
17,/404.html?page=/what do we do/sustaining-software&from=http://www.open.ac.uk/wikis/iet/IET_July_2010,1,1
18,/about,55,40
19,/about/advisory-board,4,4
20,/about/cite-us,4,3
21,/about/contact,38,25
22,/about/media,3,3
23,/about/our-partners,9,9
24,/about/people,80,66
25,/advanced-school-scientific-development-day-5-exercises,1,1
26,/agent-reports,8,7
27,/agents,38,28
28,/agents/agent-faqs,1,1
29,/agents/agent-profiles,20,18
30,/agents/more-information-about-agent-network,18,16
31,/astonishingly-fast-fitting-models-big-datasets,13,9
32,/blog,102,68
33,/blog?page=1,12,10
34,/blog?page=10,2,2
35,/blog?page=2,8,5
36,/blog?page=3,5,4
37,/blog?page=4,4,4
38,/blog?page=5,3,3
39,/blog?page=6,2,2
40,/blog?page=7,2,2
41,/blog?page=8,2,2
42,/blog?page=9,2,2
43,/blog/,6,6
44,/blog/2010-12-16-experiences-paraview-and-python,66,65
45,/blog/2010-12-21-geotod-ii-linked-data-demonstrator-live,2,1
46,/blog/2011-01-11-organising-successful-event-cw11,1,1
47,/blog/2011-01-17-continuous-integration-gets-new-butler,3,2
48,/blog/2011-01-18-thinking-about-migrating-different-repository,2,2
49,/blog/2011-02-23-sword-software-ontology-research-description,2,1
50,/blog/2011-04-11-grid-computing-explained-european-grid-initiative-user-forum,1,1
51,/blog/2011-04-14-coder-programmer-or-software-developer-spot-difference,26,23
52,/blog/2011-05-02-publish-or-be-damned-alternative-impact-manifesto-research-software,3,3
53,/blog/2011-05-23-scientists-solve-one-africa-s-oldest-animal-plagues,2,1
54,/blog/2011-06-02-commercialising-your-software,4,3
55,/blog/2011-06-03-ssi-contributes-software-carpentry,1,1
56,/blog/2011-06-22-ssi-effective-scientific-programming-workshop,1,1
57,/blog/2011-06-22-what-makes-good-code-good,7,7
58,/blog/2011-07-08-why-reproducibility-important,2,2
59,/blog/2011-09-02-wtfsmin-indicator-code-quality,9,6
60,/blog/2011-09-22-chemistry-experiments-computer-instead-bench-top,5,5
61,/blog/2011-10-06-prediction-better-future-head-injured-patients,2,1
62,/blog/2011-10-13-save-scientific-legacy-code,4,4
63,/blog/2011-10-18-open-street-map-and-participatory-mapping,2,2
64,/blog/2011-10-20-biodiversity-spice-life,1,1
65,/blog/2011-10-25-software-chasing-sequence-report-ismb,3,3
66,/blog/2011-11-01-getting-started-android,1,1
67,/blog/2011-11-02-finding-best-online-resources,1,1
68,/blog/2011-11-14-ten-hints-testing-eclipse-plug-ins,2,2
69,/blog/2011-11-21-geotod-ii-all-hands-2011-and-semantic-web-2011,2,2
70,/blog/2011-11-30-celery-not-be-sniffed,27,26
71,/blog/2011-12-02-how-successfully-attract-equity-investment,2,2
72,/blog/2011-12-16-what-makes-good-code-good-digital-social-research-view,6,6
73,/blog/2011-12-22-scala-fewer-lines-code-and-better-pay,2,2
74,/blog/2012-01-19-how-easy-it-teach-software-skills,5,4
75,/blog/2012-01-31-can-you-code-better-your-friends-find-out-dev8d,1,1
76,/blog/2012-02-17-evaluating-software-behind-some-worlds-large-experimental-facilities,5,4
77,/blog/2012-02-17-what-makes-good-code-good-and-peer-software-reviewing-dev8d,4,4
78,/blog/2012-03-05-five-easy-steps-promoting-your-software,4,3
79,/blog/2012-03-05-five-top-tips-promoting-your-software,8,8
80,/blog/2012-03-18-students-view-advanced-school-scientific-software-development,3,3
81,/blog/2012-03-23-announcing-journal-open-research-software-software-metajournal,14,13
82,/blog/2012-03-26-usability-uk,1,1
83,/blog/2012-03-27-rtfm-four-letter-word,4,4
84,/blog/2012-04-02-simple-tangible-benefits-technically-minded-academics,4,2
85,/blog/2012-04-04-extending-and-documenting-robocup-rescue,5,2
86,/blog/2012-04-05-software-engineering-too-high-price-pay,5,5
87,/blog/2012-04-11-attachment-and-turing-un-disposal-ubiquitous-ai,3,2
88,/blog/2012-04-12-where-do-you-publish-your-results,2,2
89,/blog/2012-04-16-marrying-prince2-agile-development,30,26
90,/blog/2012-04-16-opportunity-learn-huge-amount-very-short-time,2,2
91,/blog/2012-04-17-developing-dynamic-biomedical-research-support-systems-need-domain-expertise,28,22
92,/blog/2012-04-18-getting-started-atlasti,10,8
93,/blog/2012-04-19-successful-github-development,3,3
94,/blog/2012-04-19-top-tips-using-open-source-repository,25,25
95,/blog/2012-04-20-ocean-sciences-meeting-2012-salt-lake-city-usa,1,1
96,/blog/2012-04-20-top-tips-migrating-open-source-repository,3,3
97,/blog/2012-04-23-how-encourage-developers-share-code,10,9
98,/blog/2012-04-23-work-scientific-software-engineers-recognised-academia,16,12
99,/blog/2012-04-26-top-5-tips-releasing-software,2,2
100,/blog/2012-04-26-top-five-donts-software-development,28,25
101,/blog/2012-04-30-five-tops-tips-documentation,9,9
102,/blog/2012-05-01-scientific-software-developer-academia,31,25
103,/blog/2012-05-02-all-present-and-correct-uks-first-software-carpentry-boot-camp,4,3
104,/blog/2012-05-02-uks-first-software-carpentry-boot-camp,91,57
105,/blog/2012-05-03-five-tops-tips-documentation,8,7
106,/blog/2012-05-08-how-encourage-developers-share-code,19,15
107,/blog/2012-05-09-five-top-tips-developing-android-apps,41,28
108,/blog/2012-05-10-clear-climate-code-rewriting-legacy-science-software-clarity,4,4
109,/blog/2012-05-10-how-describe-software-you-used-your-research-top-ten-tips,2,2
110,/blog/2012-05-15-clear-climate-code-rewriting-legacy-science-software-clarity,7,7
111,/blog/2012-05-16-now-its-our-turn-software-carpentry-newcastle,43,31
112,/blog/2012-05-16-top-five-tips-releasing-software,22,20
113,/choosing-right-open-source-software-your-project,4,4
114,/comment/delete/103,1,1
115,/comment/delete/106,1,1
116,/comment/reply/363,1,1
117,/comment/reply/487,1,1
118,/comment/reply/499,1,1
119,/comment/reply/512,3,2
120,/content-summary,1,1
121,/cw12,50,37
122,/cw12/collaborations-workshop-archive,1,1
123,/cw12/cw12-agenda,2,2
124,/cw12/cw12-breakout-topics,3,3
125,/cw12/cw12-breakouts,6,4
126,/cw12/cw12-collaborative-ideas,3,3
127,/cw12/cw12-email-everything,1,1
128,/cw12/cw12-five-important-things,6,6
129,/cw12/cw12-free-places,2,2
130,/cw12/cw12-lightning-talks,3,2
131,/cw12/cw12-topics-lightning-talks,12,8
132,/digital-engagement-2011,1,1
133,/end-project-questionnaire-developers,105,26
134,/events,14,12
135,/events?page=1,5,5
136,/events?page=2,4,3
137,/events?page=3,3,2
138,/events?page=4,4,3
139,/events/2011-03-30-software-ontology-resource-description,2,1
140,/events/2011-03-30-understanding-provenance-and-linked-open-data,5,5
141,/events/2011-04-11-automating-quality-assurance-project-aqua-project-events,2,2
142,/events/2011-11-29-3rd-ieee-international-conference-cloud-computing-technology-and-science-ieee-clou,3,3
143,/events/2011-12-05-ieee-international-conference-utility-and-cloud-computing,1,1
144,/events/2012-02-16-london-citizen-cyberscience-summit,1,1
145,/events/2012-02-23-cloudscape-iv,1,1
146,/events/2012-04-30-software-carpentry-bootcamp,1,1
147,/events/2012-05-14-software-carpentry-bootcamp,23,19
148,/events/2012-05-29-dev8ed-building-sharing-learning-cool-stuff-education,3,3
149,/events/2012-06-10-para-2012-workshop-state-art-scientific-and-parallel-computing,11,9
150,/events/2012-06-18-sciencecloud-2012-3rd-workshop-scientific-cloud-computing,8,7
151,/events/2012-06-18-soundsoftware-2012-workshop-software-and-data-audio-and-music-research,3,3
152,/events/2012-06-19-biobytes-workshop-bioscientists,11,10
153,/events/2012-06-25-csc-summer-school-high-performance-computing,4,4
154,/events/2012-06-25-digital-methods-summer-school-2012,2,2
155,/events/2012-07-03-summer-science-exhibition-2012-royal-society,2,2
156,/events/2012-07-09-web-science-summer-school,1,1
157,/events/2012-09-24-2012-international-workshop-sustainable-software-development-heterogeneous-systems,1,1
158,/founding-organisations,14,11
159,/help-travel-requests-and-conference-reports,3,3
160,/helping-surgeons-adopt-software,9,6
161,/home/cw11,3,2
162,/home/cw11/breakouts,2,2
163,/home/cw11/cw11-agenda,1,1
164,/home/cw11/cw11-materials,1,1
165,/home/cw11/giving-good-lightning-talk,20,19
166,/home/cw11/lightning-talks,3,1
167,/how-frustrate-your-users-annoy-other-developers-and-please-lawyers,4,4
168,/how-run-software-carpentry-boot-camp,12,1
169,/join-our-agents-network,6,1
170,/keep-calm-and-compute,1,1
171,/knowledge-gaps-phd-conference-2012,8,8
172,/login,30,22
173,/maintainable-software-practice-workshop,91,72
174,/more-information-about-agent-network,1,1
175,/news,30,22
176,/news?page=1,1,1
177,/news/2011-08-17-ngs-secure-funding-until-july-2012,1,1
178,/news/2011-08-30-peering-under-sarongs,2,1
179,/news/2011-09-22-announcing-our-agents-2011,1,1
180,/news/2011-11-01-getting-started-android,8,8
181,/news/2011-12-05-asksteve-testing-frameworks-python,1,1
182,/news/2011-12-14-collaborations-workshop-21-22-march-2012-oxford,1,1
183,/news/2011-12-21-first-live-run-neutrino-software,1,1
184,/news/2012-02-21-conference-intelligence-dev8d-2012,1,1
185,/news/2012-03-05-build-better-scientific-software-dcse-funding-available-uk-universityregional-hpc-co,1,1
186,/news/2012-04-16-argument-publishing-source-code,3,2
187,/news/2012-04-23-secret-computer-code-threatens-science,2,1
188,/news/2012-04-25-online-sustainability-evaluation-review-your-software-s-sustainability-and-receive-t,13,11
189,/news/2012-04-26-online-sustainability-evaluation-review-your-software-s-sustainability-and-receive-t,3,3
